"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2020-07-13"," 9:30:00 AM","2020-07-13"," 3:10:00 PM","","","","","","","25.19","-870.22"
"1.1","2020-07-13"," 9:38:00 AM","2020-07-13"," 9:41:00 AM","PE","21800","Buy","225","101.10","95.90","","-1169.66"
"1.2","2020-07-13"," 9:50:00 AM","2020-07-13"," 9:58:00 AM","PE","21800","Buy","225","107.85","118.14","","2314.58"
"1.3","2020-07-13"," 10:16:00 AM","2020-07-13"," 10:18:00 AM","PE","21700","Buy","225","110.61","101.65","","-2015.13"
"2","2020-07-14"," 9:30:00 AM","2020-07-14"," 3:10:00 PM","","","","","","","26.17","523.59"
"2.1","2020-07-14"," 9:45:00 AM","2020-07-14"," 9:52:00 AM","PE","21100","Buy","225","103.35","101.00","","-529.24"
"2.2","2020-07-14"," 10:16:00 AM","2020-07-14"," 10:24:00 AM","PE","21100","Buy","225","110.56","117.59","","1583.08"
"2.3","2020-07-14"," 10:33:00 AM","2020-07-14"," 10:38:00 AM","PE","21000","Buy","225","107.85","105.50","","-530.25"
"3","2020-07-15"," 9:30:00 AM","2020-07-15"," 3:10:00 PM","","","","","","","26.31","-1876.21"
"3.1","2020-07-15"," 9:31:00 AM","2020-07-15"," 9:34:00 AM","CE","22100","Buy","225","103.90","112.49","","1933.16"
"3.2","2020-07-15"," 2:39:00 PM","2020-07-15"," 2:40:00 PM","PE","21100","Buy","225","115.71","106.35","","-2106.23"
"3.3","2020-07-15"," 9:36:00 AM","2020-07-15"," 9:41:00 AM","CE","22200","Buy","225","101.75","108.50","","1517.60"
"3.4","2020-07-15"," 10:18:00 AM","2020-07-15"," 10:26:00 AM","CE","22200","Buy","225","117.61","113.09","","-1015.95"
"3.5","2020-07-15"," 2:41:00 PM","2020-07-15"," 2:42:00 PM","PE","21000","Buy","225","103.90","94.10","","-2204.77"
